,ir_test,ir_crl_mean,ir_crl_std,p_value
126,-0.03842949168139872,-0.3743486771596756,0.5636484454519007,0.24
127,-0.5123159476529375,-0.7299982047739484,0.5930045598460982,0.37
128,-0.013376241196374887,0.1023612242056749,0.5078640705885018,0.6
131,-0.6386183064382973,-0.9811545509559022,0.5795952599731304,0.25
132,-0.7013901725020805,-0.854446305444348,0.568889093705285,0.4
133,1.1140362606558738,-0.5398326724948784,0.6562833347499352,0.01
134,-0.8721387565169493,-0.5382998295622048,0.6479838264831556,0.72
135,1.7076890201593606,-0.9941929165868555,0.5267782500418886,0.0
136,-0.23212497119763295,-0.35965927194507363,0.6205030358223476,0.4
137,1.6248978517105759,-1.461422918016101,0.6172322257165231,0.0
138,-1.2688335167159062,-0.25037330307474187,0.5256988029135318,0.97
140,-1.1224972129610673,-0.004588281283271489,0.6037474361313209,0.98
141,0.7820107283843326,-0.38323364571802965,0.5818398178357355,0.02
143,-0.22871552030345912,-0.5772369495170662,0.5623585593802305,0.26
144,-1.5896996962853092,-1.0408560488937422,0.6268303233867081,0.84
145,1.122383351122211,-0.24655092046930016,0.5358728100795634,0.0
146,-1.2533997133418773,-0.4775862396039855,0.5673290562448964,0.93
147,0.2897389673971604,-0.6714782630990385,0.5658324715506334,0.05
149,-1.2175191744626832,-0.3490206470529128,0.7139587536497337,0.88
150,-0.2088785319369621,-0.5440644736377039,0.5944397409958725,0.3
151,-0.18488834110149321,-0.7257286223548196,0.5824675238256314,0.17
152,0.17952469274759178,-1.395622761727172,0.5938862919366125,0.0
154,0.022955961726215043,-0.6204074875552444,0.603851043442687,0.17
155,-0.6945720554594285,-1.0231312263344343,0.5779392544553846,0.32
157,0.7878279065094624,-0.45117585718395725,0.6138736140791093,0.0
159,-0.883035334824604,-0.5109765790297485,0.6099076730487633,0.69
162,-2.3925215896872216,-1.209376325687476,0.6352456114930939,0.96
163,-0.24632542605021918,-0.7570198647929506,0.6922890402452112,0.24
164,-0.7955967822845595,-0.010724222104574088,0.6033745210340895,0.87
165,0.6684387771834488,-0.30231947958296573,0.5973235156914296,0.04
166,1.1278207089663785,-0.613785042647316,0.642117016892313,0.0
167,1.097122289610542,-0.20083288009851505,0.602753098215536,0.01
168,1.1537791355115579,-0.9581275832485083,0.5962807889425987,0.0
170,-0.7932752172884598,-0.32246702940697153,0.5662830734628084,0.79
171,1.1157109229355866,-0.13148697166614343,0.6710157259654047,0.03
172,0.7172171609919883,-0.9732824727498087,0.609813778495929,0.0
173,-1.2413202413103612,-0.9301683757022898,0.5512501187413812,0.74
174,0.8601280408241199,-1.0544880360382083,0.6751323829193053,0.0
176,1.499999999674936,-0.5800122011265421,0.5890448824335712,0.01
177,-0.12044028821000735,-0.5676468390001164,0.6158400695612872,0.24
178,0.9545019984629391,-0.6736603535790603,0.5775643181250304,0.0
179,-0.31101798174511114,-0.2930187469129685,0.587741127464281,0.55
180,-1.9761848789978258,-0.6490131275642416,0.5269291535122758,1.0
183,-1.6904304329405098,-0.1922219570428698,0.6490212516421177,0.97
184,1.8724343281921025,-0.08522060243346936,0.630331751622826,0.0
185,1.1898446677786447,-0.626652102556852,0.5665794524557786,0.0
187,-0.8016036994495823,-0.39375063394820536,0.5743752956102106,0.8
188,-1.9248087934408904,-0.8644363167939143,0.6683538015546754,0.93
193,1.0756557696018652,-0.25365121089367526,0.6681469853857975,0.03
194,0.6664542638135201,-0.2792609919262957,0.6310696082522657,0.06
195,0.1000686646106929,-0.27178319298256587,0.6282705164239638,0.22
196,-1.2028710147866697,-0.8910769972291185,0.7140403169786114,0.65
197,1.7365130413248173,-0.8265000644563562,0.5901321491295753,0.0
199,1.6779663040024915,-0.9199468496488022,0.6363105473359473,0.0
200,-0.5982061102479168,-0.952426583435802,0.5501137129951967,0.2
201,-1.6056422812270295,-0.553086234754712,0.67130270905193,0.94
202,-0.5958603753408589,-0.48854272312072244,0.5965639983468963,0.55
204,-0.6177601568788594,0.2479052242297628,0.6681304160318591,0.88
205,-0.24730260810524363,-0.6870972440492493,0.5500277868989929,0.22
206,-1.2951919231165019,-0.5301510348064093,0.6466542183510218,0.88
208,0.19835047151222035,-0.6415997079721945,0.6686682318539892,0.11
209,0.0015106925698986334,-0.9784744588486943,0.5936130292714296,0.05
211,-2.639325898923237,-0.4831877889558653,0.6474431181452666,1.0
212,-0.14998059803960398,-1.040084444185914,0.5366367843690134,0.04
213,1.1916291854741163,-1.1563759484261702,0.5733682906547706,0.0
214,-1.047667593687053,-0.834201334082238,0.6280842615584489,0.64
215,-0.47682551427805486,-0.11682880149813232,0.5853624406961907,0.74
