code,ir_bo,ir_rd,p_value,params
600855.XSHG,1.5882679849182193,0.0952470453519639,0.0,"{'A1': 30.0, 'A2': 60.0, 'A3': 106.95362112399935, 'y1': 0.005, 'y2': -0.2}"
000662.XSHE,0.5771946659595507,0.6201164886370306,0.533,"{'A1': 4.495625273283352, 'A2': 37.84812057047743, 'A3': 110.7909033334391, 'y1': 0.3, 'y2': -0.2}"
000666.XSHE,0.6071989909402189,0.5593504670525854,0.464,"{'A1': 12.51066014107722, 'A2': 51.60973480326474, 'A3': 60.01029373356104, 'y1': 0.09418810892639273, 'y2': -0.17138260129066296}"
000748.XSHE,-1.4551612972776726,0.16106868608335864,0.994,"{'A1': 6.799617471686176, 'A2': 51.99042862108014, 'A3': 76.94441715158193, 'y1': 0.005, 'y2': -0.2}"
000695.XSHE,1.7958453081484858,0.7878058718434328,0.051,"{'A1': 7.102757054506937, 'A2': 45.067863307705814, 'A3': 115.29737026036031, 'y1': 0.09928867844250407, 'y2': -0.2}"
000698.XSHE,-0.2731485810482356,0.40618868650842,0.836,"{'A1': 8.721866303823402, 'A2': 45.607827410349934, 'A3': 60.0, 'y1': 0.005, 'y2': -0.2}"
600581.XSHG,-0.8925451090754224,0.3797615085859315,0.966,"{'A1': 15.600207951358454, 'A2': 47.049393523707245, 'A3': 83.37620017509245, 'y1': 0.3, 'y2': -0.2}"
600580.XSHG,-0.6951848284948832,0.6937205116791766,0.984,"{'A1': 2.770157843063934, 'A2': 35.58780634133013, 'A3': 91.10046543387429, 'y1': 0.12204640489804763, 'y2': -0.0949307368693454}"
000066.XSHE,-0.05165414010017279,0.877484401274259,0.932,"{'A1': 11.654326207281999, 'A2': 57.772566179297044, 'A3': 136.389046218571, 'y1': 0.17802751476676776, 'y2': -0.15721962992550037}"
600584.XSHG,0.06958045748657164,0.8292209062323949,0.89,"{'A1': 11.654326207281999, 'A2': 57.772566179297044, 'A3': 136.389046218571, 'y1': 0.17802751476676776, 'y2': -0.15721962992550037}"
000062.XSHE,-0.12903641177154035,0.5327619930481501,0.864,"{'A1': 11.765255984739179, 'A2': 52.78351070242273, 'A3': 60.248438036986336, 'y1': 0.24926082230820945, 'y2': -0.11127328473118799}"
600586.XSHG,2.55681521483577,0.15255123318324126,0.0,"{'A1': 14.394399827763703, 'A2': 37.661134421717726, 'A3': 126.44808495235151, 'y1': 0.08052444852549116, 'y2': -0.005}"
600589.XSHG,0.6722665073613505,0.48320823374631866,0.384,"{'A1': 9.035225636921119, 'A2': 45.46417149384594, 'A3': 68.52029863849, 'y1': 0.3, 'y2': -0.005}"
600831.XSHG,-0.3101525634714015,0.4433214305249919,0.877,"{'A1': 2.4795973184128095, 'A2': 35.52337113381861, 'A3': 60.0, 'y1': 0.005, 'y2': -0.2}"
600618.XSHG,0.4780913086092297,0.397155834072369,0.469,"{'A1': 3.732885862206788, 'A2': 37.007776167715136, 'A3': 93.83670523681633, 'y1': 0.19204530841308617, 'y2': -0.1107999889131815}"
600750.XSHG,0.8016000688694351,0.41305214460556133,0.3,"{'A1': 14.067465348430042, 'A2': 31.12960944373015, 'A3': 71.7201808788176, 'y1': 0.21317746058905815, 'y2': -0.10864526205559948}"
600754.XSHG,-0.16425608622710478,0.15400270720770837,0.634,"{'A1': 30.0, 'A2': 30.0, 'A3': 60.0, 'y1': 0.3, 'y2': -0.005}"
